virus,gene,n,n_infected,rho_load_all,p_all,rho_load_infected,p_infected,viral_vs_depth,viral_vs_G2M,viral_vs_dpt,top_pc,top_pc_rho
DENV,BIRC3,929,874,0.051,0.12195565754085502,0.061,0.07317825915493564,-0.083,-0.279,0.588,1,0.65
DENV,SIRT4,929,874,0.065,0.04667475558508194,0.083,0.014519533213747599,-0.083,-0.279,0.588,1,0.65
DENV,VNN3P,929,874,0.254,3.926085902378252e-15,0.26,5.923758778656669e-15,-0.083,-0.279,0.588,1,0.65
DENV,PLA2G4C,929,874,0.1,0.002301068888253878,0.114,0.0007323041351751308,-0.083,-0.279,0.588,1,0.65
DENV,LPXN,929,874,0.045,0.16958266763108862,0.042,0.21207821171029148,-0.083,-0.279,0.588,1,0.65
DENV,TSPAN1,929,874,0.213,5.6666712789012255e-11,0.21,3.6784472429118304e-10,-0.083,-0.279,0.588,1,0.65
DENV,DUSP1,929,874,0.205,2.8064639311937177e-10,0.196,5.518207082439681e-09,-0.083,-0.279,0.588,1,0.65
DENV,INHBE,929,874,0.299,1.298259624968236e-20,0.291,1.779373704444265e-18,-0.083,-0.279,0.588,1,0.65
DENV,CFAP251,929,874,0.051,0.11938214210710094,0.067,0.04731648235400025,-0.083,-0.279,0.588,1,0.65
DENV,CD200R1,929,874,0.04,0.21801883979171313,0.044,0.19206025137525723,-0.083,-0.279,0.588,1,0.65
DENV,CXCL1,929,874,0.036,0.2788255114513083,0.032,0.3411945818085488,-0.083,-0.279,0.588,1,0.65
DENV,CREBRF,929,874,0.211,7.767291333924904e-11,0.233,2.8178701423384368e-12,-0.083,-0.279,0.588,1,0.65
DENV,RND1,929,874,-0.001,0.968709381244042,-0.007,0.8345425023123157,-0.083,-0.279,0.588,1,0.65
DENV,TSPYL2,929,874,0.371,1.0015735109431365e-31,0.39,4.350570106739857e-33,-0.083,-0.279,0.588,1,0.65
DENV,CCL4,929,874,0.047,0.1500091674998834,0.037,0.2682460936496412,-0.083,-0.279,0.588,1,0.65
ZIKV,BIRC3,447,267,0.267,9.851233863412935e-09,0.269,8.225935028149984e-06,-0.219,-0.324,0.723,2,0.72
ZIKV,SIRT4,447,267,0.132,0.00534044088166782,0.19,0.0018110269759733185,-0.219,-0.324,0.723,2,0.72
ZIKV,VNN3P,447,267,0.174,0.0002194870070790949,0.162,0.007963904863663314,-0.219,-0.324,0.723,2,0.72
ZIKV,PLA2G4C,447,267,0.287,6.436260695447737e-10,0.339,1.2787125443376138e-08,-0.219,-0.324,0.723,2,0.72
ZIKV,LPXN,447,267,0.225,1.4623929798165715e-06,0.323,6.880622768979283e-08,-0.219,-0.324,0.723,2,0.72
ZIKV,TSPAN1,447,267,0.177,0.0001688475485416638,0.187,0.0021622539352557906,-0.219,-0.324,0.723,2,0.72
ZIKV,DUSP1,447,267,0.289,4.820904939142937e-10,0.379,1.500442082827494e-10,-0.219,-0.324,0.723,2,0.72
ZIKV,INHBE,447,267,0.295,2.0350911043023633e-10,0.312,1.8958988418798154e-07,-0.219,-0.324,0.723,2,0.72
ZIKV,CFAP251,447,267,0.054,0.2578273357069287,0.035,0.5675026626050491,-0.219,-0.324,0.723,2,0.72
ZIKV,CD200R1,447,267,0.177,0.0001755279295869674,0.294,9.934124084782856e-07,-0.219,-0.324,0.723,2,0.72
ZIKV,CXCL1,447,267,0.124,0.008833475093390494,0.159,0.009117135150487461,-0.219,-0.324,0.723,2,0.72
ZIKV,CREBRF,447,267,0.274,3.6622155504868314e-09,0.351,3.546271607463455e-09,-0.219,-0.324,0.723,2,0.72
ZIKV,RND1,447,267,0.447,2.359735730608499e-23,0.551,1.2200838260098411e-22,-0.219,-0.324,0.723,2,0.72
ZIKV,TSPYL2,447,267,0.339,1.676187815047857e-13,0.384,7.828806545288808e-11,-0.219,-0.324,0.723,2,0.72
ZIKV,CCL4,447,267,0.143,0.0024008181772429255,0.154,0.011931435084952743,-0.219,-0.324,0.723,2,0.72
